Date,Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Costos,Ingresos,Utilidad Bruta,"Amort, Gastos Fin, Impuestos ",Utilidad Neta,ROS,Margen_Utilidad_Bruta,Rentabilidad_Costos,Rentabilidad_Bruta
2017-12-01,254,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,264.58333333333337,243.92123287671237,218.20373287671237,25.717500000000005,0.09720000000000001,92.19070218962356,124.46701657458566,1180.524861878453
2017-12-01,204,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,212.50000000000003,191.83789954337902,171.18289954337902,20.655000000000005,0.09720000000000001,90.27665860864894,99.96563535911605,928.4530386740332
2017-12-01,173,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,180.20833333333334,159.54623287671234,142.02998287671232,17.516250000000003,0.09720000000000001,88.53432575817563,84.77477900552488,772.1685082872929
2017-12-01,107,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,111.45833333333334,90.79623287671234,79.96248287671233,10.833750000000002,0.09720000000000001,81.46204071181667,52.43295580110499,439.43370165745864
2017-12-01,78,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,81.25,60.587899543378995,52.690399543378994,7.897500000000001,0.09720000000000001,74.56972251492799,38.2221546961326,293.23204419889504
2017-12-01,100,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,104.16666666666667,83.50456621004567,73.37956621004567,10.125000000000002,0.09720000000000001,80.16438356164383,49.002762430939235,404.1436464088398
2017-12-01,181,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,188.54166666666669,167.87956621004568,149.5533162100457,18.32625,0.0972,89.04109589041096,88.69500000000001,812.5
2017-12-01,460,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,479.1666666666667,458.5045662100457,411.9295662100457,46.575,0.09720000000000001,95.68790946992259,225.41270718232047,2219.0607734806636
2017-12-01,930,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,968.7500000000001,948.0878995433791,853.9253995433791,94.16250000000002,0.09720000000000001,97.86713801738105,455.7256906077349,4588.53591160221
2017-12-01,490,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,510.4166666666667,489.7545662100457,440.1420662100457,49.612500000000004,0.09720000000000001,95.95191501258039,240.11353591160224,2370.303867403315
2017-12-01,339,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,353.125,332.46289954337897,298.13914954337895,34.323750000000004,0.09720000000000001,94.14878571139936,166.119364640884,1609.0469613259668
2017-12-01,360,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,375.0,354.33789954337897,317.887899543379,36.45,0.09720000000000001,94.49010654490105,176.40994475138123,1714.9171270718232
2017-12-01,449,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,467.70833333333337,447.04623287671234,401.58498287671233,45.46125000000001,0.09720000000000001,95.58226805381823,220.02240331491714,2163.6049723756905
2017-12-01,451,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,469.7916666666667,449.1295662100457,403.4658162100457,45.66375000000001,0.09720000000000001,95.60185888284786,221.00245856353595,2173.6878453038676
2017-12-01,447,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,465.62500000000006,444.9628995433791,399.70414954337906,45.258750000000006,0.0972,95.56250191535656,219.04234806629836,2153.5220994475144
2017-12-01,463,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,482.2916666666667,461.6295662100457,414.7508162100457,46.878750000000004,0.09720000000000001,95.71584958134856,226.88279005524862,2234.1850828729284
2017-12-01,484,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,Winter,No Holiday,Yes,20.662100456621005,504.1666666666667,483.5045662100457,434.4995662100457,49.00500000000001,0.09720000000000001,95.9017321408355,237.17337016574592,2340.055248618785
